lex,sp,gloss,voc_lex
PRBR/,subs,court,פַּרְבָּר
YJWN=/,subs,signpost,צִיּוּן
NKH==/,nmpr,Neco,נְכֹה
XMWVL/,nmpr,Hamutal,חֲמוּטַל
JRMJHW/,nmpr,Jeremiah,יִרְמְיָהוּ
<NC/,subs,fine,עֹנֶשׁ
JHWJQJM/,nmpr,Jehoiakim,יְהֹויָקִים
ZBWDH/,nmpr,Zebidah,זְבוּדָּה
PDJH/,nmpr,Pedaiah,פְּדָיָה
NBWKDN>YR/,nmpr,Nebuchadnezzar,נְבוּכַדְנֶאצַּר
KFDJ/,adjv,Chaldean,כַּשְׂדִּי
JHWJKJN/,nmpr,Jehoiachin,יְהֹויָכִין
NXCT>/,nmpr,Nehushta,נְחֻשְׁתָּא
>LNTN/,nmpr,Elnathan,אֶלְנָתָן
MSGR=/,subs,bulwark-maker,מַסְגֵּר
DLH=/,subs,poor,דַּלָּה
GWLH/,subs,exile,גֹּולָה
MTNJH/,nmpr,Mattaniah,מַתַּנְיָה
DJQ/,subs,bulwark,דָּיֵק
NBWZR>DN/,nmpr,Nebuzaradan,נְבוּזַרְאֲדָן
KRM=/,subs,vinedresser,כֹּרֵם
JGB[,verb,labour,יגב
YPNJHW/,nmpr,Zephaniah,צְפַנְיָהוּ
GDLJHW/,nmpr,Gedaliah,גְּדַלְיָהוּ
NTNJH/,nmpr,Nethaniah,נְתַנְיָה
JWXNN/,nmpr,Johanan,יֹוחָנָן
QRX===/,nmpr,Kareah,קָרֵחַ
TNXMT/,nmpr,Tanhumeth,תַּנְחֻמֶת
J>ZNJHW/,nmpr,Jaazaniah,יַאֲזַנְיָהוּ
GLWT/,subs,exile,גָּלוּת
>WJL_MRDK/,nmpr,Evil-merodach,אֱוִיל מְרֹדַךְ
>RXH=/,subs,sustenance,אֲרֻחָה
>BWS/,subs,manger,אֵבוּס
ZWR[,verb,turn aside,זור
DWJ=/,adjv,ill,דַּוָּי
MLWNH/,subs,watching-place,מְלוּנָה
MQCH=/,subs,cucumber field,מִקְשָׁה
ZKH[,verb,be clean,זכה
>CR[,verb,walk straight,אשׁר
XMWY=/,subs,oppressor,חָמֹוץ
LBN[,verb,be white,לבן
SJG/,subs,lead oxide,סִיג
SB>/,subs,drink,סֹבֶא
MHL[,verb,vitiate,מהל
CLMNJM/,subs,gifts,שַׁלְמֹנִים
BR=====/,subs,potash,בֹּר
BDJL/,subs,dross of melting,בָּדִיל
>JL==/,subs,mighty tree,אַיִל
XPR[,verb,be ashamed,חפר
XSN/,adjv,strong,חָסֹן
NJYWY/,subs,spark,נִיצֹוץ
NHR[,verb,stream,נהר
MZMRH/,subs,pruning-knife,מַזְמֵרָה
FPQ[,verb,clap hands,שׂפק
QYH==/,subs,end,קֵצֶה
CXX[,verb,bow down,שׁחח
GBHWT/,subs,haughtiness,גַּבְהוּת
RWM=/,subs,height,רוּם
G>H/,adjv,haughty,גֵּאֶה
CPL==/,adjv,low,שָׁפֵל
FKJH/,subs,ship,שְׂכִיָּה
MXLH==/,subs,hole,מְחִלָּה
PRWT/,subs,<uncertain>,פֵּרֹות
MC<N/,subs,support,מַשְׁעֵן
MC<NH/,subs,support,מַשְׁעֵנָה
XRC=====/,subs,<uncertain>,חֶרֶשׁ
LXC/,subs,whispering,לַחַשׁ
T<LWLJM/,subs,ill-treatment,תַּעֲלוּלִים
RHB[,verb,storm against,רהב
MKCLH/,subs,decay,מַכְשֵׁלָה
HKRH/,subs,expression,הַכָּרָה
BL<=[,verb,confuse,בלע
DK>[,verb,oppress,דכא
GRWN/,subs,throat,גָּרֹון
FQR[,verb,seduce,שׂקר
VPP[,verb,trip,טפף
<KS[,verb,fetter,עכס
FPX[,verb,be scabby,שׂפח
<KS/,subs,anklet,עֶכֶס
CBJS/,subs,headband,שָׁבִיס
CR==/,subs,bracelet,שֵׁר
R<LH/,subs,veil,רְעָלָה
QCRJM/,subs,bands,קִשֻּׁרִים
MXLYWT/,subs,robes,מַחֲלָצֹות
M<VPT/,subs,over-garment?,מַעֲטֶפֶת
MVPXT/,subs,cloak,מִטְפַּחַת
GLJWN/,subs,tablet,גִּלָּיֹון
YNJPH/,subs,turban,צְנִיפָה
RDJD/,subs,wrapper,רְדִיד
MQ/,subs,musty smell,מַק
NQPH/,subs,rope,נִקְפָּה
MQCH==/,subs,hair setting,מִקְשֶׁה
PTJGJL/,subs,garment,פְּתִיגִיל
MXGRT/,subs,girding,מַחֲגֹרֶת
KJ/,subs,branding,כִּי
JPJ/,subs,beauty,יֳפִי
>NH=[,verb,mourn,אנה
DWX[,verb,rinse,דוח
XPH/,subs,balcony,חֻפָּה
MXSH/,subs,refuge,מַחְסֶה
MSTWR/,subs,shelter,מִסְתֹּור
ZRM/,subs,rain,זֶרֶם
<ZQ[,verb,dig,עזק
FRQ/,subs,grape,שֹׂרֵק
B>C=/,subs,rotten berry,בָּאֻשׁ
MFWKH/,subs,hedge,מְשׂוּכָּה
MRMS/,subs,trampled land,מִרְמָס
BTH=/,subs,<uncertain>,בָּתָה
<DR=[,verb,weed,עדר
CMJR/,subs,thorn-bush,שָׁמִיר
CJT/,subs,weed,שַׁיִת
NV</,subs,plantation,נֶטַע
C<CW<JM/,subs,delight,שַׁעֲשׁוּעִים
MFPX/,subs,deviation,מִשְׂפָּח
YXH/,adjv,parched,צִחֶה
P<R[,verb,open,פער
C>WN/,subs,roar,שָׁאֹון
<LZ/,adjv,rejoicing,עָלֵז
DBR==/,subs,pasture,דֹּבֶר
MX/,subs,fatling,מֵחַ
MSK[,verb,mix,מסך
XCC/,subs,dried grass,חֲשַׁשׁ
SWXH/,subs,offal,סוּחָה
NWM[,verb,slumber,נום
YR===/,subs,<uncertain>,צַר
GLGL/,subs,wheel,גַּלְגַּל
SWPH/,subs,storm,סוּפָה
C>GH/,subs,roaring,שְׁאָגָה
NHM[,verb,groan,נהם
NHMH/,subs,growling,נְהָמָה
<RJPJM/,subs,drops,עֲרִיפִים
DMH=[,verb,be silent,דמה
RYPH/,subs,coal,רִצְפָּה
C<<=[,verb,paste,שׁעע
CLKT/,subs,cutting down,שַׁלֶּכֶת
NXH=[,verb,lean,נחה
C>R_JCWB/,nmpr,Shear-Jashub,שְׁאָר יָשׁוּב
>WD/,subs,log,אוּד
QWY=[,verb,be asunder,קוץ
VB>L/,nmpr,Tabeel,טָבְאֵל
<MQ[,verb,be deep,עמק
C>LH=/,subs,<uncertain>,שְׁאָלָה
<MNW_>L/,nmpr,Immanuel,עִמָּנוּ אֵל
BTH/,subs,gully,בַּתָּה
NQJQ/,subs,cleft,נָקִיק
N<YWY/,subs,thorn-bush,נַעֲצוּץ
NHLL/,subs,watering place,נַהֲלֹל
M<DR/,subs,hoe,מַעְדֵּר
MHR_CLL_XC_BZ/,nmpr,Maher-Shalal-Hash-Baz,מַהֵר שָׁלָל חָשׁ בַּז
JBRKJHW/,nmpr,Jeberekiah,יְבֶרֶכְיָהוּ
CLX===/,nmpr,Shiloah,שִׁלֹחַ
MFWF/,subs,joy,מָשֹׂושׂ
MVH===/,subs,spreading,מֻטָּה
XZQH=/,subs,strength,חֶזְקָה
T<WDH/,subs,attestation,תְּעוּדָה
LMD/,subs,disciple,לִמֻּד
YPP[,verb,whisper,צפף
M<WP/,subs,darkness,מְעוּף
YWQH/,subs,distress,צוּקָה
MW<P/,subs,darkness,מוּעָף
MWYQ=/,subs,constraint,מוּצָק
YLMWT/,subs,darkness,צַלְמָוֶת
GJL[,verb,rejoice,גיל
SBL==/,subs,load,סֹבֶל
S>WN/,subs,boot,סְאֹון
S>N[,verb,tramp,סאן
M>KLT=/,subs,food,מַאֲכֹלֶת
MFRH/,subs,dominion,מִשְׂרָה
MRBH/,subs,abundance,מַרְבֶּה
SWK=[,verb,incite,סוך
>GMWN/,subs,rush,אַגְמֹון
XNP/,adjv,alienated,חָנֵף
>BK[,verb,bear along,אבך
G>WT/,subs,rise,גֵּאוּת
<TM[,verb,<uncertain>,עתם
GZR=[,verb,eat,גזר
CW>H/,subs,trouble,שֹׁואָה
>SJR=/,subs,prisoner,אַסִּיר
Z<M/,subs,curse,זַעַם
CLL[,verb,plunder,שׁלל
KRKMJC/,nmpr,Carchemish,כַּרְכְּמִישׁ
KLNW/,nmpr,Calno,כַּלְנֹו
BY<[,verb,cut off,בצע
<TWD=/,subs,ready,עָתוּד
CFH[,verb,<uncertain>,שׁשׂה
KBJR/,adjv,great,כַּבִּיר
MFWR/,subs,saw,מַשֹּׂור
MCMN/,subs,fatness,מִשְׁמָן
RZWN/,subs,emaciation,רָזֹון
JQD/,subs,burning,יְקֹד
NSS[,verb,falter,נסס
C>R=/,subs,rest,שְׁאָר
MZ<R/,subs,trifle,מִזְעָר
TBLJT/,subs,destruction,תַּבְלִית
XBL=[,verb,be corrupt,חבל
<JT/,nmpr,Aiath,עַיַּת
YHL[,verb,cry,צהל
LJCH/,nmpr,Laishah,לַיְשָׁה
MDMNH=/,nmpr,Madmenah,מַדְמֵנָה
GBJM/,nmpr,Gebim,גֵּבִים
S<P[,verb,cut off,סעף
P>RH/,subs,bough,פֻּארָה
M<RYH/,subs,terror,מַעֲרָצָה
NQP=[,verb,strike,נקף
XVR/,subs,shoot,חֹטֶר
GZ</,subs,stump,גֶּזַע
NYR/,subs,shoot,נֵצֶר
MCM</,subs,rumour,מִשְׁמָע
NMR/,subs,leopard,נָמֵר
C<<[,verb,take delight,שׁעע
XR/,subs,hiding-place,חֻר
M>WRH/,subs,young one,מְאוּרָה
YP<NJ/,subs,viper,צִפְעֹנִי
HDH[,verb,put,הדה
PTRWS/,nmpr,Upper Egypt,פַּתְרֹוס
MCLWX/,subs,sending,מִשְׁלֹוחַ
B<JM/,subs,<uncertain>,בַּעְיָם
FFWN/,subs,rejoicing,שָׂשֹׂון
CPH[,verb,sweep bare,שׁפה
<LJZ/,adjv,rejoicing,עַלִּיז
JLL[,verb,howl,ילל
CD/,subs,violence,שֹׁד
XBL/,subs,labour pains,חֵבֶל
>KZRJ/,adjv,cruel,אַכְזָרִי
KSJL=/,subs,Orion,כְּסִיל
HLL=[,verb,light,הלל
ZD/,adjv,insolent,זֵד
<RJY/,adjv,ruthless,עָרִיץ
PZ/,subs,topaz,פַּז
KTM/,subs,gold,כֶּתֶם
<RBJ=/,adjv,Arab,עֲרָבִי
YJ/,subs,demon,צִי
>X=/,subs,eagle owl,אֹחַ
RQD[,verb,skip,רקד
>J=/,subs,islander,אִי
TN/,subs,jackal,תַּן
<NG=/,subs,delight,עֹנֶג
<YB==/,subs,pain,עֹצֶב
RGZ/,subs,excitement,רֹגֶז
MDHBH/,subs,<uncertain>,מַדְהֵבָה
SRH=/,subs,ceasing,סָרָה
MRDP/,subs,<uncertain>,מֻרְדָּף
PYX[,verb,be serene,פצח
RP>JM/,subs,ghosts,רְפָאִים
HMJH/,subs,sound,הֶמְיָה
JY<[,verb,spread out,יצע
TWL<H/,subs,maggot,תֹּולֵעָה
HJLL/,subs,morning-star,הֵילֵל
CGX[,verb,gaze,שׁגח
V<N=[,verb,pierce,טען
BWS[,verb,tread down,בוס
MVBX/,subs,slaughtering place,מַטְבֵּחַ
BL,nega,not,בַּל
MWRC/,subs,possession,מֹורָשׁ
QPD/,subs,hedgehog,קִפֹּד
V>V>[,verb,sweep,טאטא
MV>V>/,subs,broom,מַטְאֲטֵא
YP</,subs,serpent,צֶפַע
BDD[,verb,be alone,בדד
MW<D=/,subs,place of assemblage,מֹועָד
QJR_MW>B/,nmpr,Kir in Moab,קִיר מֹואָב
JHY/,nmpr,Jahaz,יַהַץ
JR<[,verb,quiver,ירע
<GLT_CLCJH/,nmpr,Eglath Shelishiyah,עֶגְלַת שְׁלִשִׁיָּה
LWXJT/,nmpr,Luhith,לוּחִית
XRWNJM/,nmpr,Horonaim,חֹרֹונָיִם
NMRJM/,nmpr,Nimrim,נִמְרִים
MCMH/,subs,devastation,מְשַׁמָּה
JTRH/,subs,remainder,יִתְרָה
>GLJM/,nmpr,Eglaim,אֶגְלַיִם
JLLH/,subs,howling,יְלָלָה
B>R_>JLJM/,nmpr,Beer Elim,בְּאֵר אֵילִים
DJMWN/,nmpr,Dimon,דִּימֹון
PLJLH/,subs,decision,פְּלִילָה
MY=/,subs,<uncertain>,מֵץ
MHJR/,adjv,quick,מָהִיר
G>/,adjv,haughty,גֵּא
BD=/,subs,idle talk,בַּד
NK>/,adjv,smitten,נָכָא
FRQ=/,adjv,bright red,שָׂרֹק
CLXWT/,subs,shoots,שְׁלֻחֹות
RWH[,verb,drink,רוה
HJDD/,subs,shouting,הֵידָד
GJL/,subs,rejoicing,גִּיל
QJR_XRF/,nmpr,Kir Hareseth,קִיר חֶרֶשׂ
M<J/,subs,<uncertain>,מְעִי
MPLH/,subs,decay,מַפָּלָה
RZH[,verb,diminish,רזה
NQP/,subs,strike,נֹקֶף
GRGR/,subs,olive,גַּרְגַּר
>MJR/,subs,branch,אָמִיר
S<JP=/,subs,bough,סָעִיף
XRC==/,subs,wood,חֹרֶשׁ
N<MNJM/,subs,pleasant places,נַעֲמָנִים
FWG[,verb,<uncertain>,שׂוג
K>B/,subs,pain,כְּאֵב
>NWC=/,adjv,incurable,אָנוּשׁ
C>H=[,verb,roar,שׁאה
MY/,subs,chaff,מֹץ
GLGL==/,subs,wheel,גַּלְגַּל
BLHH/,subs,terror,בַּלָּהָה
YJR==/,subs,messenger,צִיר
QW==/,subs,<uncertain>,קַו
MBWSH/,subs,subjugation,מְבוּסָה
BZ>[,verb,wash away,בזא
YX/,adjv,clear,צַח
BSR/,subs,grape,בֹּסֶר
NYH=/,subs,blossom,נִצָּה
ZLZLJM/,subs,sprigs,זַלְזַלִּים
NVJCWT/,subs,shoots,נְטִישֹׁות
TZZ[,verb,strike,תזז
JBL[,verb,bring,יבל
CJ/,subs,gift,שַׁי
BQQ[,verb,lay waste,בקק
>VJM/,subs,charmers,אִטִּים
NCT[,verb,dry,נשׁת
ZNX=[,verb,stink,זנח
QML[,verb,be lousy,קמל
<RH/,subs,rush,עָרָה
MZR</,subs,seed-land,מִזְרָע
DJG/,subs,fisher,דַּיָּג
XKH/,subs,fish-hook,חַכָּה
MKMRT/,subs,net,מִכְמֶרֶת
FRJQ/,adjv,carded,שָׂרִיק
XWRJ/,subs,<uncertain>,חֹורָי
CTT/,subs,<uncertain>,שָׁתֹת
FKR=/,subs,hire,שֶׂכֶר
>GM=/,adjv,grieved,אָגֵם
>WJL/,adjv,foolish,אֱוִיל
B<R=[,verb,be stupid,בער
NP/,nmpr,Memphis,נֹף
<W<JM/,subs,wavering,עִוְעִים
QJ>/,subs,vomit,קִיא
XG>/,subs,shame,חָגָּא
HRS/,subs,destruction,הֶרֶס
SRGWN/,nmpr,Sargon,סַרְגֹון
XFWPJ/,subs,<uncertain>,חֲשׂוּפַי
MBV/,subs,hope,מַבָּט
XZWT/,subs,vision,חָזוּת
>NXH/,subs,sigh,אֲנָחָה
XLXLH/,subs,anguish,חַלְחָלָה
PLYWT/,subs,shuddering,פַּלָּצוּת
YPJT/,subs,seat order,צָפִית
MDCH/,subs,trample,מְדֻשָׁה
B<H[,verb,inquire,בעה
<RB=====/,nmpr,Arabs,עֲרַב
DDNJ/,adjv,Dedanites,דְּדָנִי
KBD==/,subs,heaviness,כֹּבֶד
TC>H/,subs,shouting,תְּשֻׁאָה
MBWKH/,subs,confusion,מְבוּכָה
QRR[,verb,be cool,קרר
CW<====/,nmpr,Shoa,שֹׁועַ
>CPH/,subs,quiver,אַשְׁפָּה
BQJ</,subs,breach,בָּקִיעַ
MQWH=/,subs,reservoir,מִקְוָה
VLVLH/,subs,hurling,טַלְטֵלָה
<VH=[,verb,grasp,עטה
YNPH/,subs,winding,צְנֵפָה
DWR=/,subs,circle,דּוּר
QLWN/,subs,dishonour,קָלֹון
Y>Y>JM/,subs,offspring,צֶאֱצָאִים
YPJ<H/,subs,leaf,צְפִיעָה
SXR/,subs,gain,סַחַר
QDMH=/,subs,beginning,קַדְמָה
KN<NJ=/,subs,tradesman,כִּנְעָנִי
MZX=/,subs,shipyard,מֵזַח
M<ZN/,subs,<uncertain>,מָעֹזֶן
BXWN=/,subs,<uncertain>,בַּחוּן
<RR[,verb,strip,ערר
XSN[,verb,store,חסן
FB<H/,subs,satiety,שִׂבְעָה
<TJQ=/,adjv,choice,עָתִיק
BLQ[,verb,waste,בלק
XRH=[,verb,diminish,חרה
YWXH/,subs,cry,צְוָחָה
C>JH/,subs,desolation,שְׁאִיָּה
>WR=/,subs,light,אוּר
RZJ/,subs,<uncertain>,רָזִי
BGD=/,subs,treachery,בֶּגֶד
R<<=[,verb,break,רעע
PRR=[,verb,stir,פרר
>SPH/,subs,<uncertain>,אֲסֵפָה
MSGR/,subs,dungeon,מַסְגֵּר
LBNH===/,subs,full moon,לְבָנָה
XMH=/,subs,heat,חַמָּה
>MN=/,subs,faithfulness,אֹמֶן
YJWN/,subs,waterless country,צָיֹון
CMR/,subs,dregs,שֶׁמֶר
MXH==[,verb,fill with marrow,מחה
ZQQ[,verb,filter,זקק
MSKH=/,subs,covering,מַסֵּכָה
NSK=[,verb,interweave,נסך
MTBN/,subs,straw-heap,מַתְבֵּן
BMW,prep,in,בְּמֹו
MDMNH/,subs,dung-place,מַדְמֵנָה
FXH[,verb,swim,שׂחה
>RBH==/,subs,<uncertain>,אָרְבָּה
BVWX/,subs,confident,בָּטוּחַ
MJCRJM/,subs,uprightness,מֵישָׁרִים
M<GL/,subs,course,מַעְגָּל
PLS[,verb,level,פלס
CXR[,verb,look for,שׁחר
<WL=[,verb,do wrong,עול
QYW/,subs,end,קָצוּ
LWJTN/,subs,leviathan,לִוְיָתָן
BRJX==/,adjv,fleeing,בָּרִיחַ
<QLTWN/,adjv,crooked,עֲקַלָּתֹון
XMD/,subs,splendour,חֶמֶד
PF<[,verb,step,פשׂע
YWT[,verb,kindle,צות
CRC[,verb,root,שׁרשׁ
HRG/,subs,slaughter,הֶרֶג
S>S>[,verb,cry,סאסא
HGH=[,verb,expel,הגה
GR=/,subs,chalk,גִּר
QYJR=/,subs,bough,קָצִיר
CBLT=/,subs,stream,שִׁבֹּלֶת
F<R=/,subs,storm,שַׂעַר
YJYH/,subs,flower,צִיצָה
BKWRH/,subs,early fig,בִּכּוּרָה
YPJRH/,subs,<uncertain>,צְפִירָה
TP>RH/,subs,splendour,תִּפְאָרָה
R>H==/,subs,vision,רֹאֶה
PWQ[,verb,totter,פוק
PLJLJH/,subs,decision,פְּלִילִיָּה
<TJQ/,adjv,removed,עַתִּיק
YW/,subs,<untranslatable>,צַו
QW=/,subs,<uncertain>,קַו
Z<JR/,subs,little,זְעֵיר
L<G=/,subs,stammering,לָעֵג
MRG<H/,subs,resting place,מַרְגֵּעָה
LYWN/,subs,boasting,לָצֹון
CWV=/,subs,spate,שֹׁוט
BXN/,subs,<type of stone>,בֹּחַן
JQRH/,subs,meeting,יִקְרָה
MWSD=/,subs,foundation,מוּסָד
J<H[,verb,sweep,יעה
ZW<H/,subs,trembling,זְוָעָה
MY</,subs,couch,מַצָּע
KNS[,verb,gather,כנס
PRYJM/,nmpr,Perazim,פְּרָצִים
MWSR=/,subs,band,מֹוסֵר
FDD[,verb,draw,שׂדד
QYX/,subs,black cumin,קֶצַח
KMN/,subs,cumin,כַּמֹּן
FWRH/,subs,<animal>,שֹׂורָה
SMN[,verb,<uncertain>,סמן
XRWY/,subs,threshing instrument,חָרוּץ
>DC[,verb,thresh?,אדשׁ
GLGL=/,subs,wheel,גִּלְגָּל
TWCJH/,subs,effect,תּוּשִׁיָּה
>RJ>L=/,nmpr,<part of Jerusalem>,אֲרִיאֵל
T>NJH/,subs,mourning,תַּאֲנִיָּה
>NJH=/,subs,mourning,אֲנִיָּה
MYWRH/,subs,fortification,מְצוּרָה
R<M/,subs,thunder,רַעַם
YBH=/,subs,<uncertain>,צֹבֶה
MYWDH==/,subs,net,מְצֹודָה
CWQQ/,adjv,narrow,שֹׁוקֵק
<YM=[,verb,close,עצם
MXCK/,subs,dark place,מַחְשָׁךְ
HPK/,subs,opposite,הֵפֶךְ
>PL=/,subs,darkness,אֹפֶל
LY/,adjv,scorner,לֵץ
CQD[,verb,be wakeful,שׁקד
QWC[,verb,lay bait,קושׁ
XWR[,verb,grow pale,חור
MSKH==/,subs,alliance,מַסֵּכָה
XSWT/,subs,refuge,חָסוּת
KLMH/,subs,insult,כְּלִמָּה
XNS/,nmpr,Hanes,חָנֵס
LJC/,subs,lion,לַיִשׁ
>P<H/,subs,snake,אֶפְעֶה
DBCT/,subs,hump,דַּבֶּשֶׁת
RHB==/,nmpr,<Egypt>,רַהַב
KXC=/,adjv,mendacious,כֶּחָשׁ
MHTLWT/,subs,deceit,מַהֲתַלֹּות
LWZ[,verb,turn aside,לוז
MKTH/,subs,crushing,מְכִתָּה
XTH[,verb,rake together,חתה
JQWD/,subs,fire-place,יָקוּד
XFP[,verb,strip,חשׂף
GB>/,subs,ditch,גֶּבֶא
CWBH/,subs,coming back,שׁוּבָה
NXT/,subs,rest,נַחַת
BVXH/,subs,confidence,בִּטְחָה
TRN/,subs,mast,תֹּרֶן
KNP[,verb,hide,כנף
MWRH/,subs,teacher,מֹורֶה
Y>/,subs,dirt,צֵא
DCN=/,adjv,fat,דָּשֵׁן
KR==/,subs,pasture,כַּר
BLJL/,subs,mash,בְּלִיל
XMJY/,subs,sorrelfodder,חָמִיץ
RXT/,subs,winnowing shovel,רַחַת
MZRH/,subs,pitch-fork,מִזְרֶה
PLG/,subs,division,פֶּלֶג
JBL/,subs,water-ditch,יָבָל
MXY/,subs,breaking,מַחַץ
MF>H/,subs,lifting up,מַשָּׂאָה
HNPH/,subs,swing,הֲנָפָה
RSN/,subs,bridle,רֶסֶן
NXT=/,subs,descent,נַחַת
Z<P/,subs,rage,זַעַף
NPY/,subs,pattering,נֶפֶץ
MWSDH/,subs,foundation,מוּסָדָה
TPTH/,subs,<uncertain>,תָּפְתֶּה
MDWRH/,subs,pile,מְדוּרָה
MGWR/,subs,horror,מָגֹור
MXB>/,subs,hiding-place,מַחֲבֵא
<LG/,adjv,stammerer,עִלֵּג
KJLJ/,subs,<uncertain>,כִּילַי
CW</,subs,noble,שֹׁועַ
XNP=/,subs,alienation,חֹנֶף
TW<H/,subs,confusion,תֹּועָה
NDJBH/,subs,willingness,נְדִיבָה
>SP/,subs,gathering,אֹסֶף
BXN=/,subs,watch-tower,בַּחַן
M<RH==/,subs,barren field,מְעָרָה
MBVX/,subs,trust,מִבְטָח
BRD[,verb,hail,ברד
CPLH/,subs,low state,שִׁפְלָה
NLH[,verb,<uncertain>,נלה
RWMMT/,subs,arising,רֹומֵמֻת
MCQ=/,subs,rushing,מַשָּׁק
GBH===/,subs,swarm,גֵּבָה
CQQ[,verb,rush,שׁקק
XSN=/,subs,store,חֹסֶן
>R>L/,subs,<uncertain>,אַרְאֵל
MFRPWT/,subs,burning,מִשְׂרְפֹות
KSX[,verb,cut off,כסח
R<DH/,subs,trembling,רְעָדָה
MWQD/,subs,hearth,מֹוקֵד
M<CQWT/,subs,extortion,מַעֲשַׁקֹּות
J<Z[,verb,be insolent,יעז
<MQ==/,adjv,unintelligible,עָמֵק
Y<N[,verb,pack up,צען
CJV/,subs,oar,שַׁיִט
B>C/,subs,stench,בְּאֹשׁ
CLWM=/,subs,reward,שִׁלּוּם
SJRH/,subs,hook,סִירָה
QMWF/,subs,weed,קִמֹּושׂ
LJLJT/,subs,night-demon,לִילִית
QNN[,verb,make nest,קנן
QPWZ/,subs,<animal>,קִפֹּוז
DGR[,verb,<uncertain>,דגר
YJH/,subs,dry country,צִיָּה
XBYLT/,subs,asphodel,חֲבַצֶּלֶת
GJLH/,subs,rejoicing,גִּילָה
CRB/,subs,heat,שָׁרָב
MBW</,subs,spring,מַבּוּעַ
RBY/,subs,resting place,רֵבֶץ
XYJR==/,subs,reed,חָצִיר
MSLWL/,subs,highway,מַסְלוּל
PRJY=/,subs,burglar,פָּרִיץ
CXJS/,subs,<uncertain>,שָׁחִיס
DMJ=/,subs,likeness,דְּמִי
XDL=/,subs,<uncertain>,חֶדֶל
DWR==/,subs,tent camp,דֹּור
QPD[,verb,roll up,קפד
DLH/,subs,thread,דַּלָּה
<GWR/,subs,bulbul,עָגוּר
<CQH/,subs,oppression,עָשְׁקָה
DDH[,verb,<uncertain>,דדה
XLM=[,verb,be healthy,חלם
CXT/,subs,pit,שַׁחַת
GW/,subs,back,גֵּו
FBR[,verb,examine,שׂבר
NGJNH/,subs,music,נְגִינָה
MRX[,verb,rub,מרח
MRDK_BL>DN/,nmpr,Merodach-Baladan,מְרֹדַךְ בַּלְאֲדָן
KPL/,subs,double,כֶּפֶל
<QB==/,subs,something knobby,עָקֹב
RKS/,subs,rugged ground,רֶכֶס
VLJ/,subs,lamb,טְלִי
CLJC/,subs,third part,שָׁלִישׁ
PLS/,subs,indicator,פֶּלֶס
MR=/,subs,drop,מַר
RTQWT/,subs,chains,רְתֻקֹות
SKN=[,verb,be poor?,סכן
RQB[,verb,rot,רקב
XWG/,subs,circle,חוּג
DQ=/,subs,something thin,דֹּק
MTX[,verb,spread out,מתח
J<P[,verb,be weary,יעף
<YMH/,subs,might,עָצְמָה
QWJ/,subs,<uncertain>,קֹוי
>BR/,subs,wing,אֵבֶר
XLQ=[,verb,be smooth,חלק
PVJC/,subs,hammer,פַּטִּישׁ
MSMR/,subs,nail,מַסְמֵר
>YJL/,subs,remote part,אָצִיל
MYT/,subs,strife,מַצֻּת
PJPJWT/,adjv,double-edged,פִּיפִיֹּות
HDS/,subs,myrtle,הֲדַס
TDHR/,subs,box tree,תִּדְהָר
T>CWR/,subs,cypress,תְּאַשּׁוּר
<YMWT/,subs,arguments,עֲצֻמֹות
>P</,subs,<uncertain>,אָפַע
SGN/,subs,prefect,סָגָן
NSK=/,subs,molten image,נֵסֶךְ
YWX[,verb,cry,צוח
YRX[,verb,cry,צרח
P<H[,verb,groan,פעה
NCM[,verb,pant,נשׁם
C>P[,verb,gasp,שׁאף
M<QCJM/,subs,rugged country,מַעֲקַשִּׁים
PXX[,verb,be trapped,פחח
<ZWZ/,subs,power,עֱזוּז
KWH[,verb,burn,כוה
M<RB/,subs,sunset,מַעֲרָב
<ZWZ=/,adjv,powerful,עִזּוּז
D<K[,verb,be extinguished,דעך
GDWP/,subs,reviling word,גִּדּוּף
KNH[,verb,honour,כנה
JRH==[,verb,be stupefied,ירה
M<YD/,subs,billhook,מַעֲצָד
PXM/,subs,charcoal,פֶּחָם
FRD/,subs,red chalk,שֶׂרֶד
MQY<H/,subs,wood-scraper,מַקְצֻעָה
MXWGH/,subs,<uncertain>,מְחוּגָה
TRZH/,subs,tree,תִּרְזָה
>RN/,subs,laurel,אֹרֶן
NFQ[,verb,kindle,נשׂק
SGD[,verb,prostrate,סגד
H>X,intj,aha,הֶאָח
VXX[,verb,be besmeared,טחח
BWL/,subs,dry wood,בּוּל
YWLH/,subs,deep,צוּלָה
KWRC/,nmpr,Cyrus,כֹּורֶשׁ
HDWRJM/,subs,<uncertain>,הֲדוּרִים
MSTR/,subs,hiding-place,מִסְתָּר
M<RBH/,subs,<uncertain>,מַעֲרָבָה
R<P[,verb,trickle,רעף
SB>JM/,nmpr,Sabeans,סְבָאִים
ZQJM/,subs,fetters,זִקִּים
YJR/,subs,<uncertain>,צִיר
BL/,nmpr,Bel,בֵּל
QRS[,verb,bend down,קרס
NBW/,nmpr,Nabu,נְבֹו
NFW>H/,subs,load,נְשׂוּאָה
ZWL[,verb,lavish,זול
>CC[,verb,<uncertain>,אשׁשׁ
YMH/,subs,veil,צַמָּה
CBL/,subs,train,שֹׁבֶל
DWMM,advb,silently,דּוּמָם
<DJN/,adjv,voluptuous,עָדִין
